Lenovo_Vibe_P1_Turbo 2 32 8 1.3 3 5.5 13 1
Xiaomi_Redmi_4_Pro 2 32 8 2 3 5 13 1
Lenovo_Vibe_S1 2 32 8 1.7 3 5 13 1
Asus_Zenfone_3_Laser 2 32 8 1.3 2 5.5 13 1
Xiaomi_Redmi_3S 2 32 8 1.3 3 5 13 1
Lenovo_Vibe_K6 2 32 8 1.3 2 5 13 1
Lenovo_Vibe_K6_Power 2 32 8 1.3 2 5 13 1
Lenovo_Phab2_Plus 2 32 4 1.3 3 6.4 13 1
Asus_ZenFone_2_32GB 2 32 4 2.3 4 5.5 13 1
Lenovo_P90 1 32 4 1.8 2 5.5 13 1
RIM_BlackBerry_Passaport 1 32 4 2.2 3 4.5 13 1
Apple_iPhone_3G_S 1 32 1 0.6 0.25 3.5 3.15 1
Apple_iPhone_4 1 32 1 1 0.5 3.5 2 1
Asus_ZenFone3 2 16 8 2 2 5.2 16 1
Xiaomi_Redmi_Note_3_Pro 2 16 6 1.8 2 5.5 16 1
Xiaomi_Redmi_Note_4 2 16 10 1.8 2 5.5 13 1
Motorola_Moto_X_Force 2 2 8 1.8 3 5.4 21 1
Xiaomi_Redmi_Note_3 2 16 8 2.0 2 5.5 13 1
Lenovo_K5_Note 2 16 8 1.8 2 5.5 13 1
Lenovo_Vibe_K5 2 16 8 1.4 2 5 13 1
Xiaomi_Mi_4C 2 16 6 1.6 2 5 13 1
Asus_ZenFone_Go_Live 4 16 4 1.5 2 5.5 13 1
Asus_ZenFone_2_ZE550ML 2 16 4 1.8 2 5.5 13 1
AsusZenFone_2_Laser 2 16 4 1.2 2 5.5 13 0
Xiaomi_Redmi_4A 2 16 4 1.4 2 5 13 0
Asus_ZenFone_Go_ZB500KL 2 16 4 1 2 5 13 0
Lenovo_S850 2 16 4 1.3 1 5 13 0
Motorola_Moto_Z_Play 2 2 8 2 3 5.5 16 0
Lenovo_Vibe_P1m 2 16 4 1 2 5 8 0
Xiaomi_Redmi_2_Pro 2 16 4 1.2 2 4.7 8 0
Lenovo_Vibe_C2 2 16 4 1 1 5 8 0
Xiaomi_Redmi_Note 1 8 8 1.7 2 5.5 13 0
Xiaomi_Redmi_Note_4G 1 8 4 1.8 2 5.5 13 0
Apple_iPhone_3G 1 16 1 0.4 0.12 3.5 2 0
Apple_iPhone_2G 1 16 1 0.4 0.05 3.5 2 0
Lenovo_A7000 2 8 8 1.5 2 5.5 8 0
Motorola_Moto_Z 2 2 2 1.8 4 5.5 13 0
Lenovo_A3690 2 8 4 1 1 5 8 0
Asus_ZenFone_5 2 8 2 1.2 2 5 8 0
Asus_PadFone_Mini_Intel 2 8 2 1.6 1 4 8 0
Apple_iPhone_5C 1 8 2 1.3 1 4 8 0
Lenovo_Vibe_B 2 8 4 1 1 4.5 5 0
RIM_BlackBerry_Porsher_design_P9981 1 8 1 1.2 0.75 2.8 5 0
RIM_BlackBerry_Bold_Touch_9930 1 8 1 1.2 0.75 2.8 5 0
RIM_Blackberry_Bold_9900 1 8 1 1.2 0.75 2.8 5 0
RIM_BlackBerry_Bold_9790 1 8 1 1 0.75 2.45 5 0
RIM_BlackBerry_Torch_9860 1 4 1 1.2 0.75 3.7 5 0
RIM_BlackBerry_Curve_9380 1 0.5 1 0.7 0.5 3.2 5 0
RIM_BlackBerry_Torch_9800 1 0.25 1 0.6 0.5 3.2 5 0
RIM_BlackBerry_Bold_9780 1 0.5 1 0.6 0.5 2.44 5 0
RIM_BlackBerry_Storm_9500 1 1 1 0.5 0.12 3.25 3.15 0
RIM_BlackBerry_9700_Onyx 1 0.25 1 0.6 0.25 2.44 3.1 0
RIM_BlackBerry_Pearl_9100 1 0.25 1 0.6 0.25 2.25 3.1 0
RIM_BlackBerry_8310_Curuve 1 0.06 1 0.3 0.06 2.5 2 0
